turn,player,move,board,winner
20,White,58,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'Black', 'White', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
21,Black,48,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', 'Black', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'Black', 'White', '?', '?', '.', '.', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
22,White,38,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'Black', 'White', '?', '?', '.', '.', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
23,Black,52,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', 'White', '?', '?', '.', 'Black', '.', 'White', 'White', 'White', 'Black', 'White', '?', '?', '.', '.', 'Black', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
24,White,62,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', '.', 'White', '?', '?', '.', 'Black', '.', 'White', 'White', 'White', 'Black', 'White', '?', '?', '.', 'White', 'White', 'White', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
25,Black,34,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'White', '.', 'White', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', '.', 'White', '?', '?', '.', 'Black', '.', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', '.', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
26,White,33,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', 'White', '.', 'White', '?', '?', '.', '.', '.', 'White', 'Black', 'White', '.', 'White', '?', '?', '.', 'Black', '.', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', '.', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
27,Black,43,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', 'White', '.', 'White', '?', '?', '.', '.', 'Black', 'Black', 'Black', 'White', '.', 'White', '?', '?', '.', 'Black', '.', 'Black', 'White', 'Black', 'Black', 'White', '?', '?', '.', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
28,White,53,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', 'White', '.', 'White', '?', '?', '.', '.', 'White', 'Black', 'Black', 'White', '.', 'White', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', '.', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
29,Black,42,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', 'White', 'Black', '.', 'White', '.', 'White', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', 'White', '.', 'White', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'Black', 'Black', 'White', '?', '?', '.', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
30,White,35,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'White', '.', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', 'White', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', 'White', '?', '?', '.', 'Black', 'White', 'White', 'White', 'Black', 'Black', 'White', '?', '?', '.', 'White', 'White', 'Black', 'Black', 'Black', 'Black', 'White', '?', '?', '.', 'White', '.', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', 'White', '.', '.', '.', '.', '.', 'Black', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",N.A.
