turn,player,move,board,winner
20,White,85,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', '.', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
21,Black,38,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', 'Black', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
22,White,78,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'White', 'White', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
23,Black,68,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
24,White,83,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'White', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'White', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
25,Black,36,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'Black', '.', '.', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', 'Black', 'Black', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
26,White,58,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'Black', 'Black', '.', '?', '?', '.', '.', 'White', 'White', 'White', 'Black', '.', 'White', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', 'White', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
27,Black,52,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'Black', 'Black', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', 'Black', '.', 'White', '?', '?', '.', '.', '.', 'Black', 'White', 'Black', 'White', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
28,White,57,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'Black', 'Black', '?', '?', '.', 'White', 'White', 'White', 'White', 'Black', 'Black', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
29,Black,41,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', 'Black', 'White', 'White', '?', '?', '.', '.', '.', 'Black', 'White', 'White', 'White', 'White', '?', '?', '.', '.', '.', 'White', 'White', 'White', 'White', 'White', '?', '?', '.', '.', 'White', 'White', 'White', 'White', 'White', 'White', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
