turn,player,move,board,winner
21,Black,31,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'Black', '.', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
22,White,26,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'White', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
23,Black,36,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', '.', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
24,White,61,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', '.', 'White', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', 'White', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
25,Black,51,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'Black', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', 'White', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
26,White,47,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'Black', '.', 'White', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', 'White', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
27,Black,71,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'Black', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'Black', 'Black', '.', 'White', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', 'Black', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', 'Black', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
28,White,46,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', 'Black', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', 'Black', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
29,Black,48,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'Black', 'Black', 'Black', '.', '.', '.', '?', '?', 'Black', '.', '.', 'Black', '.', 'Black', '.', '.', '?', '?', 'Black', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
30,White,62,"['?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', 'Black', '.', 'White', 'White', 'White', 'White', 'White', '.', '?', '?', '.', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', 'Black', 'Black', 'Black', 'White', 'White', 'White', '.', '.', '?', '?', '.', 'Black', 'Black', 'White', 'Black', 'Black', 'Black', 'Black', '?', '?', 'Black', 'Black', 'White', 'Black', 'Black', '.', '.', '.', '?', '?', 'Black', 'White', '.', 'Black', '.', 'Black', '.', '.', '?', '?', 'Black', '.', '.', '.', '.', '.', '.', '.', '?', '?', '.', '.', '.', '.', '.', '.', '.', '.', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?', '?']",Controller White
